SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022169.155805,5950,7787.5,2884,3725.0,2970,4025.0,8,2,9,40
1697022171.792198,6069,9040.0,2954,3710.0,3009,3795.0,8,2,9,40
1697022174.320057,7094,7112.5,3502,3015.0,3128,3055.0,8,3,9,40
1697022176.281433,5861,14652.5,2174,5435.0,2288,5720.0,8,1,9,40
1697022179.215545,6233,15582.5,2192,5480.0,2394,5985.0,8,1,9,40
1697022182.351742,5932,14830.0,2008,5020.0,2916,7290.0,8,1,9,40
1697022186.245965,6095,6237.5,3466,2980.0,3440,3020.0,8,3,9,40
1697022188.138779,5083,6432.5,3026,3875.0,2648,3495.0,8,2,9,40
1697022190.531591,5103,6085.0,3484,3245.0,2619,2537.5,8,3,9,40
1697022192.433345,6469,4437.5,4118,2660.0,4766,3605.0,8,4,9,40
1697022194.514303,5129,4475.0,3300,3085.0,2957,2800.0,8,3,9,40
1697022196.514173,5431,13577.5,2138,5345.0,3260,8150.0,8,1,9,40
1697022201.067152,6657,6265.0,3368,3105.0,3065,2980.0,8,3,9,40
1697022203.19618,7209,6705.0,3594,3085.0,2739,2397.5,8,3,9,40
1697022205.021642,6966,5375.0,4274,2960.0,3260,2340.0,8,4,9,40
1697022206.883509,5641,6182.5,3492,3115.0,3144,3170.0,8,3,9,40
1697022208.904718,5938,8490.0,2830,3790.0,2903,3862.5,8,2,9,40
1697022211.244394,8567,5645.0,4328,2830.0,3224,2170.0,8,4,9,40
1697022213.021951,6803,7850.0,3476,3195.0,3283,3142.5,8,3,9,40
1697022215.042115,5427,13567.5,2080,5200.0,3242,8105.0,8,1,9,40
1697022219.564616,7140,5380.0,4132,2760.0,3354,2900.0,8,4,9,40
1697022221.377263,6868,6575.0,3686,3340.0,3686,3640.0,8,3,9,40
1697022223.655911,6780,8770.0,3084,4025.0,3696,5155.0,8,2,9,40
1697022226.377217,5998,14995.0,2118,5295.0,3234,8085.0,8,1,9,40
1697022230.482608,5862,7367.5,2884,3745.0,2734,3570.0,8,2,9,40
1697022232.495186,6209,7852.5,2824,3680.0,4590,6975.0,8,2,9,40
1697022235.52473,6159,6377.5,3598,3470.0,2636,2815.0,8,3,9,40
